t,pitch_deg,gyro_dps,base_cmd
2.08,3.24572,-18.2208,-6
2.084,3.17231,-18.3525,-6
2.088,3.09838,-18.4827,-6
2.092,3.02394,-18.6114,-6
2.096,2.94898,-18.7388,-6
2.1,2.87352,-18.8647,-6
2.104,2.79756,-18.9893,-6
2.108,2.72111,-19.1125,-6
2.112,2.64418,-19.2344,-6
2.116,2.56676,-19.355,-6
2.12,2.48886,-19.4743,-6
2.124,2.41049,-19.5924,-6
2.128,2.33165,-19.7092,-6
2.132,2.25235,-19.8248,-6
2.136,2.1726,-19.9393,-6
2.14,2.09239,-20.0526,-6
2.144,2.01173,-20.1647,-6
2.148,1.93063,-20.2757,-6
2.152,1.84908,-20.3856,-6
2.156,1.76711,-20.4945,-6
2.16,1.6847,-20.6022,-6
2.164,1.60186,-20.7089,-6
2.168,1.5186,-20.8146,-6
2.172,1.43492,-20.9193,-6
2.176,1.35083,-21.023,-6
2.18,1.26633,-21.1257,-6
2.184,1.18142,-21.2275,-6
2.188,1.09611,-21.3283,-6
2.192,1.01039,-21.4282,-6
2.196,0.924285,-21.5273,-6
2.2,0.837783,-21.6254,-6
2.204,0.750892,-21.7227,-6
2.208,0.663616,-21.8191,-6
2.212,0.575958,-21.9146,-6
2.216,0.48792,-22.0094,-6
2.22,0.399507,-22.1033,-6
2.224,0.310721,-22.1965,-6
2.228,0.221565,-22.2889,-6
2.232,0.132043,-22.3805,-6
2.236,0.042158,-22.4713,-6
2.24,-0.0480879,-22.5615,-6
2.244,-0.138691,-22.6509,-6
2.248,-0.22965,-22.7396,-6
2.252,-0.32096,-22.8276,-6
2.256,-0.41262,-22.9149,-6
2.26,-0.504626,-23.0016,-6
2.264,-0.596977,-23.0876,-6
2.268,-0.689669,-23.173,-6
2.272,-0.782699,-23.2577,-6
2.276,-0.876067,-23.3418,-6
2.28,-0.969768,-23.4253,-6
2.284,-1.0638,-23.5083,-6
2.288,-1.15816,-23.5906,-6
2.292,-1.25285,-23.6724,-6
2.296,-1.34787,-23.7536,-6
